ds,y
2010-11-10,112843.392375574
2010-11-11,112341.503375574
2010-11-12,110547.533375574
2010-11-13,111883.345375574
2010-11-14,111239.361375574
2010-11-15,114597.321839173
2010-11-16,115825.703839173
2010-11-17,113155.242303739
2010-11-18,111387.06615093
2010-11-19,110751.656873039
2010-11-20,112466.66987304
2010-11-21,111453.60287304
2010-11-22,115886.51312979
2010-11-23,115284.735949776
2010-11-24,115942.775949775
2010-11-25,116689.15164717
2010-11-26,116618.94045917
2010-11-27,120686.86245917
2010-11-28,122092.201650405
2010-11-29,126342.288986389
2010-11-30,130077.114986389
2010-12-01,130508.664989623
2010-12-02,130795.254930334
2010-12-03,132435.796532924
2010-12-04,126647.208587615
2010-12-05,125202.188142164
2010-12-06,130566.575930334
2010-12-07,132325.17469944
2010-12-08,131453.031757493
2010-12-09,129411.394778845
2010-12-10,123983.422752934
2010-12-11,122578.770752934
2010-12-12,121594.427752934
2010-12-13,125916.330752935
2010-12-14,125378.093513552
2010-12-15,126817.658947079
2010-12-16,126441.112947078
2010-12-17,129757.503023119
2010-12-18,132465.877177405
2010-12-19,132646.506177405
2010-12-20,139074.223177405
2010-12-21,146265.972371714
2010-12-22,146700.240510358
2010-12-23,147402.721657126
2010-12-24,158397.165525362
2010-12-25,159927.457868355
2010-12-26,140379.146868355
2010-12-27,132228.076868355
2010-12-28,126820.224868355
2010-12-29,124916.616868355
2010-12-30,123929.495128654
2010-12-31,126087.746183786
