,ds,y
293,2010-05-03,57174.6260242103
294,2010-05-04,48597.51254121707
295,2010-05-05,47893.54154121702
296,2010-05-06,48010.58954121711
297,2010-05-07,48900.767541217036
298,2010-05-08,56091.46954121724
299,2010-05-09,58945.55054121717
300,2010-05-10,48258.74554121717
301,2010-05-11,48114.584541216966
302,2010-05-12,47403.707541217096
303,2010-05-13,48209.21754121708
304,2010-05-14,48393.983541217036
305,2010-05-15,57515.30854121714
306,2010-05-16,58805.95654121722
307,2010-05-17,47059.4960982204
308,2010-05-18,48109.84509822034
309,2010-05-19,47675.03609822038
310,2010-05-20,46419.108098220415
311,2010-05-21,47726.72227185378
312,2010-05-22,54987.387271853986
313,2010-05-23,55512.26827185381
314,2010-05-24,47595.456271853946
315,2010-05-25,46206.5742718538
316,2010-05-26,45876.96227185377
317,2010-05-27,46732.56027185378
318,2010-05-28,47557.16727185372
319,2010-05-29,56654.42527185373
320,2010-05-30,57533.06227185377
321,2010-05-31,49062.367271853815
322,2010-06-01,46665.56726253714
323,2010-06-02,46553.345262536975
324,2010-06-03,46441.34926253694
325,2010-06-04,47688.50074253705
326,2010-06-05,55065.658742536994
327,2010-06-06,55260.50474253699
328,2010-06-07,55162.14074253698
329,2010-06-08,49485.5347425369
330,2010-06-09,48766.996454658256
331,2010-06-10,46482.03345465816
332,2010-06-11,47076.615454658204
333,2010-06-12,55266.58545465822
334,2010-06-13,57821.41345465826
335,2010-06-14,47473.81045465824
336,2010-06-15,46668.497454658354
337,2010-06-16,47203.903454658204
338,2010-06-17,46555.72245465828
339,2010-06-18,48346.78345465832
340,2010-06-19,53589.39245465819
341,2010-06-20,53949.87145465823
342,2010-06-21,47046.65945465826
343,2010-06-22,46539.27745465817
344,2010-06-23,46374.963454658275
345,2010-06-24,46164.603454658245
346,2010-06-25,47958.458622288264
347,2010-06-26,53842.84862228828
348,2010-06-27,55261.33362228843
349,2010-06-28,48125.46362228823
350,2010-06-29,46842.483622288266
351,2010-06-30,47552.32297841369
352,2010-07-01,47359.34797841366
353,2010-07-02,47703.28297841359
354,2010-07-03,54116.30397841363
355,2010-07-04,55593.760978413615
356,2010-07-05,47083.90197841365
357,2010-07-06,48042.70328933807
358,2010-07-07,47055.66828933799
359,2010-07-08,47605.320289338015
360,2010-07-09,49361.511289337985
361,2010-07-10,56776.20128933789
362,2010-07-11,56964.99328933801
363,2010-07-12,48124.8752232224
364,2010-07-13,49096.51705655566
365,2010-07-14,48531.811697651436
366,2010-07-15,49438.464697651594
367,2010-07-16,49039.721367951104
368,2010-07-17,55471.139367951226
369,2010-07-18,57399.86236795123
370,2010-07-19,48414.382012811126
371,2010-07-20,48600.70986980383
372,2010-07-21,48638.01499698353
373,2010-07-22,47550.914862935315
374,2010-07-23,47635.47886293532
375,2010-07-24,53639.95386293534
376,2010-07-25,56674.48986293527
377,2010-07-26,48430.33986293523
378,2010-07-27,47543.01486293511
379,2010-07-28,47494.02186293532
380,2010-07-29,47705.892862935194
381,2010-07-30,49446.405862935244
